,Id,lon,lat,X,Y,Type,ltype,Name,Source,x_pixel,y_pixel,elev
126,11,98.25293761065763,37.67491640930325,98.3055137957,37.4984425364,strike-slip,1311,,,8940.70503734737,5681.979942088124,4024
127,11,98.29540822200434,37.52202220845506,98.3055137957,37.4984425364,strike-slip,1311,,,8950.897984072213,5645.285333878688,3924
128,11,98.3463729556204,37.40310449668425,98.3055137957,37.4984425364,strike-slip,1311,,,8963.129520142023,5616.745083049126,3642
129,11,98.4058318115058,37.26719854037475,98.3055137957,37.4984425364,strike-slip,1311,,,8977.399645556805,5584.127653529627,3404
130,11,98.4228200560445,37.08882197271853,98.3055137957,37.4984425364,strike-slip,1311,,,8981.476824246743,5541.317277285284,3670
131,12,99.23239748147252,30.163030333956744,98.9989958262,29.5746700079,strike-slip,1311,,,9175.775406380555,3879.127283716506,3854
132,12,99.03396787836313,29.657936798769207,98.9989958262,29.5746700079,strike-slip,1311,,,9128.152301626682,3757.9048352521017,4162
133,12,98.8445578026678,29.206960428066047,98.9989958262,29.5746700079,strike-slip,1311,,,9082.693883452528,3649.6705062660258,3147
134,12,98.78142111076936,28.981472242714467,98.9989958262,29.5746700079,strike-slip,1311,,,9067.54107739448,3595.553341772988,4970
135,13,99.1151436250897,28.647749728394132,99.3531997752,28.9081236426,strike-slip,1311,,,9147.634480844177,3515.4599383232926,3171
136,13,99.40376850233972,28.96343318788634,99.3531997752,28.9081236426,strike-slip,1311,,,9216.904451395263,3591.223968613545,2891
137,13,99.56611999579286,29.18892137323792,99.3531997752,28.9081236426,strike-slip,1311,,,9255.868809830254,3645.3411331065827,3857
138,14,101.22571303998048,28.864218386331647,101.554762036,29.2883259814,strike-slip,1311,,,9654.17114049901,3567.4124162366084,4004
139,14,101.63159177361332,29.38735097634731,101.554762036,29.2883259814,strike-slip,1311,,,9751.582036586478,3692.964237860456,4762
140,14,101.81198232189459,29.7571516003239,101.554762036,29.2883259814,strike-slip,1311,,,9794.87576818091,3781.716387629038,4876
141,15,102.25393916518368,23.993673582737536,102.476804438,23.7975521427,strike-slip,1311,,,9900.945410587263,2398.481663186993,1608
142,15,102.47942735053526,23.795243979628147,102.476804438,23.7975521427,strike-slip,1311,,,9955.0625750803,2350.85855843312,1671
143,15,102.63275931657434,23.732107287729704,102.476804438,23.7975521427,strike-slip,1311,,,9991.862246935567,2335.705752375069,1931
144,15,102.75903270037122,23.714068232901578,102.476804438,23.7975521427,strike-slip,1311,,,10022.167859051668,2331.376379215626,1719
145,16,102.30805632966806,24.282298459987558,102.533544515,24.1379860214,strike-slip,1311,,,9913.933530065591,2467.7516337380816,2144
146,16,102.75903270037122,23.993673582737536,102.533544515,24.1379860214,strike-slip,1311,,,10022.167859051668,2398.481663186993,1392
147,17,98.43867906903496,21.567420708354543,98.6867160729,21.5358523624,strike-slip,1311,,,8985.282987365063,1816.1809732419067,955
148,17,98.93475307680843,21.5042840164561,98.6867160729,21.5358523624,strike-slip,1311,,,9104.340749249746,1801.0281671838559,622
149,18,99.55710046837879,23.03760367684684,100.229055261,22.496432032,strike-slip,1311,,,9253.70412325053,2169.0248857365127,1823
150,18,100.9010100530742,21.95526038715926,100.229055261,22.496432032,strike-slip,1311,,,9576.242423629035,1909.2624961699316,922
151,19,99.8006277085585,22.703881162526503,100.075723295,22.419766049,strike-slip,1311,,,9312.15066090301,2088.9314822868173,1558
152,19,100.35081888081635,22.135650935440523,100.075723295,22.419766049,strike-slip,1311,,,9444.196542266023,1952.556227764362,1131
153,20,103.50765347573846,23.33524808151093,104.365572226,22.3455436106,strike-slip,1311,,,10201.836845168553,2240.4595428673238,1737
154,20,103.68804402401972,23.00152556719059,104.365572226,22.3455436106,strike-slip,1311,,,10245.13057676298,2160.3661394176274,1662
155,20,103.87745409971505,22.76701785442495,104.365572226,22.3455436106,strike-slip,1311,,,10290.588994937134,2104.0842883448686,679
156,20,104.10294228506663,22.55054919648743,104.365572226,22.3455436106,strike-slip,1311,,,10344.706159430172,2052.131810431552,593
157,20,104.3554890526604,22.352119593378042,104.365572226,22.3455436106,strike-slip,1311,,,10405.317383662376,2004.5087056776788,462
158,20,104.56293818318385,22.216826682167095,104.365572226,22.3455436106,strike-slip,1311,,,10455.105174995968,1972.0384069818563,243
159,20,104.70725062180885,22.162709517682718,104.365572226,22.3455436106,strike-slip,1311,,,10489.74016027151,1959.0502875035274,181
160,20,104.89666069750419,21.937221332331138,104.365572226,22.3455436106,strike-slip,1311,,,10535.198578445665,1904.9331230104897,69
161,20,105.19430510216827,21.702713619565493,104.365572226,22.3455436106,strike-slip,1311,,,10606.633235576473,1848.65127193773,46
162,20,105.3566565956214,21.495264489042043,104.365572226,22.3455436106,strike-slip,1311,,,10645.597594011459,1798.8634806041357,42
163,21,100.20650644219134,25.725422846237663,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9409.561556990478,2814.1014864935228,1962
164,21,100.45003368237104,25.355622222261076,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9468.008094642959,2725.349336724941,1691
165,21,100.81081477893358,25.012880180526675,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9554.59555783182,2643.0912466955238,1365
166,21,101.18963493032422,24.525825700167264,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9645.512394180121,2526.1981713905625,1170
167,21,101.60453319137113,23.993673582737536,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9745.087976847313,2398.481663186993,824
168,21,101.96531428793365,23.596814376518758,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9831.675440036171,2303.235453679247,449
169,21,102.20884152811337,23.452501937893746,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9890.121977688656,2268.6004684037025,564
170,21,102.6147202617462,23.254072334784357,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",9987.532873776121,2220.9773636498294,1237
171,21,102.94844277606654,23.15485753322966,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",10067.626277225818,2197.165811272892,613
172,21,103.2280481259025,23.019564622018713,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",10134.731561197184,2164.6955125770696,1218
173,21,103.4986339483244,22.902310765635892,103.324277179,22.9778653658,strike-slip,1311,Red River Fault,"Wang, et al., 1998; Leloup, et al., 1995",10199.67215858883,2136.55458704069,358
